Name,Height,Mountain Group,Link
Tolminski Migovec,1868 m,,https://www.hribi.net/gora/tolminski_migovec/1/2102
Požgana Mlinarica,1868 m,,https://www.hribi.net/gora/pozgana_mlinarica/1/1812
Vrh Muzcev (zahodni vrh),1864 m,,https://www.hribi.net/gora/vrh_muzcev_zahodni_vrh/1/4261
Vrh Planje (nad Globokim),1863 m,,https://www.hribi.net/gora/vrh_planje_nad_globokim/1/687
Skutnik/Torre Guarda,1860 m,,https://www.hribi.net/gora/skutnik_torre_guarda/1/1880
Vrh Dlani,1852 m,,https://www.hribi.net/gora/vrh_dlani/1/1902
Bivak Nogara,1850 m,,https://www.hribi.net/gora/bivak_nogara/1/1056
Rifugio Gilberti,1850 m,,https://www.hribi.net/gora/rifugio_gilberti/1/1036
Šober / Monte Sciober Grande,1845 m,,https://www.hribi.net/gora/sober___monte_sciober_grande/1/1280
Žabiški Kuk,1844 m,,https://www.hribi.net/gora/zabiski_kuk/1/686
Črna prst,1844 m,,https://www.hribi.net/gora/crna_prst/1/87
Četrt,1832 m,,https://www.hribi.net/gora/cetrt/1/1102
Jezero v Ledvicah,1831 m,,https://www.hribi.net/gora/jezero_v_ledvicah/1/171
Kovačičeva glava,1827 m,,https://www.hribi.net/gora/kovaciceva_glava/1/221
Visoka glava,1822 m,,https://www.hribi.net/gora/visoka_glava/1/1684
Vodnikov dom na Velem polju,1817 m,,https://www.hribi.net/gora/vodnikov_dom_na_velem_polju/1/139
Stara koča na Kaninu,1814 m,,https://www.hribi.net/gora/stara_koca_na_kaninu/1/3137
Pri treh macesnih,1810 m,,https://www.hribi.net/gora/pri_treh_macesnih/1/1385
Vrtec,1809 m,,https://www.hribi.net/gora/vrtec/1/1628
Jezero v Lužnici,1801 m,,https://www.hribi.net/gora/jezero_v_luznici/1/330
Visoki Orlov rob,1800 m,1800 m,https://www.hribi.net/gora/visoki_orlov_rob/1/1900
Škraplja,1794 m,,https://www.hribi.net/gora/skraplja/1/1368
Plesišče,1790 m,,https://www.hribi.net/gora/plesisce/1/1682
Kumlehova glava,1788 m,,https://www.hribi.net/gora/kumlehova_glava/1/1266
Rušni vrh,1786 m,,https://www.hribi.net/gora/rusni_vrh/1/1755
Stadorski Orliči,1782 m,,https://www.hribi.net/gora/stadorski_orlici/1/1627
Rušnata Mlinarica,1777 m,,https://www.hribi.net/gora/rusnata_mlinarica/1/1060
Krasji vrh,1773 m,,https://www.hribi.net/gora/krasji_vrh/1/605
Rigeljc,1768 m,,https://www.hribi.net/gora/rigeljc/1/1626
Veliki vrh (Polovnik),1768 m,,https://www.hribi.net/gora/veliki_vrh_polovnik/1/1346
Čukla,1767 m,,https://www.hribi.net/gora/cukla/1/415
Svete Višarje / Monte Lussari,1766 m,,https://www.hribi.net/gora/svete_visarje___monte_lussari/1/655
Kurji vrh,1762 m,,https://www.hribi.net/gora/kurji_vrh/1/1096
Pršivec,1761 m,,https://www.hribi.net/gora/prsivec/1/254
Glave,1760 m,,https://www.hribi.net/gora/glave/1/1045
Luknja,1758 m,,https://www.hribi.net/gora/luknja/1/197
Sovna glava,1750 m,,https://www.hribi.net/gora/sovna_glava/1/465
Zavitar,1750 m,,https://www.hribi.net/gora/zavitar/1/464
Visoka peč,1749 m,,https://www.hribi.net/gora/visoka_pec/1/2658
Ciprnik,1745 m,,https://www.hribi.net/gora/ciprnik/1/709
Vršič vrh,1737 m,,https://www.hribi.net/gora/vrsic_vrh/1/426
Skutnik /Monte Guarda,1721 m,,https://www.hribi.net/gora/skutnik__monte_guarda/1/601
Planina Jezerce,1720 m,,https://www.hribi.net/gora/planina_jezerce/1/260
Planina Zgornja Krma,1720 m,,https://www.hribi.net/gora/planina_zgornja_krma/1/253
Veliki Karman / Monte Chiampon,1713 m,1700 m,https://www.hribi.net/gora/veliki_karman___monte_chiampon/1/2372
Rutarski Vršič,1699 m,,https://www.hribi.net/gora/rutarski_vrsic/1/1380
Gradovec,1692 m,,https://www.hribi.net/gora/gradovec/1/2649
Poštarski dom na Vršiču,1688 m,,https://www.hribi.net/gora/postarski_dom_na_vrsicu/1/261
Koča pri Triglavskih jezerih,1685 m,,https://www.hribi.net/gora/koca_pri_triglavskih_jezerih/1/133
Orlove glave,1682 m,,https://www.hribi.net/gora/orlove_glave/1/1898
Velo polje,1680 m,,https://www.hribi.net/gora/velo_polje/1/99
Stol (Julijske Alpe),1673 m,,https://www.hribi.net/gora/stol_julijske_alpe/1/750
Planina Krstenica,1670 m,,https://www.hribi.net/gora/planina_krstenica/1/101
Na Glavi,1666 m,,https://www.hribi.net/gora/na_glavi/1/3570
Ricovero Igor Crasso,1665 m,,https://www.hribi.net/gora/ricovero_igor_crasso/1/4063
Jehlc (Špičasta kupa),1662 m,,https://www.hribi.net/gora/jehlc_spicasta_kupa/1/1114
Rifugio di Brazza,1660 m,,https://www.hribi.net/gora/rifugio_di_brazza/1/429
Planina Ovčarija,1660 m,,https://www.hribi.net/gora/planina_ovcarija/1/157
Zavetišče pod Ponco,1657 m,,https://www.hribi.net/gora/zavetisce_pod_ponco/1/1047
Lisc (Lisec),1653 m,,https://www.hribi.net/gora/lisc_lisec/1/3520
Florjanka / Monte Florianca,1653 m,,https://www.hribi.net/gora/florjanka___monte_florianca/1/2797
Svinjak,1653 m,,https://www.hribi.net/gora/svinjak/1/419
Planina pod Mišelj vrhom,1645 m,,https://www.hribi.net/gora/planina_pod_miselj_vrhom/1/292
Matajur,1642 m,,https://www.hribi.net/gora/matajur/1/747
Gabrovec (Veliki Muzec),1630 m,,https://www.hribi.net/gora/gabrovec_veliki_muzec/1/1394
Blejska koča na Lipanci,1630 m,,https://www.hribi.net/gora/blejska_koca_na_lipanci/1/76
Planina Viševnik,1625 m,,https://www.hribi.net/gora/planina_visevnik/1/255
Bivak Dino Brollo,1621 m,,https://www.hribi.net/gora/bivak_dino_brollo/1/4233
Vošni vrh,1621 m,,https://www.hribi.net/gora/vosni_vrh/1/2138
Tičarjev dom na Vršiču,1618 m,,https://www.hribi.net/gora/ticarjev_dom_na_vrsicu/1/262
Breški Jalovec / Punta di Montemaggiore,1613 m,,https://www.hribi.net/gora/breski_jalovec___punta_di_montemaggiore/1/1395
Muzec - Musc (Mali Muzec),1612 m,,https://www.hribi.net/gora/muzec_-_musc_mali_muzec/1/825
Slatnik (severozahodni vrh),1609 m,,https://www.hribi.net/gora/slatnik_severozahodni_vrh/1/290
Možic,1602 m,,https://www.hribi.net/gora/mozic/1/205
Planina za Migovcem,1600 m,1600 m,https://www.hribi.net/gora/planina_za_migovcem/1/1887
Slatnik (jugovzhodni vrh),1597 m,,https://www.hribi.net/gora/slatnik_jugovzhodni_vrh/1/2518
